
 .d8888b.                        888                  d88888888888
d88P  Y88b                       888                 d88888  888  
888    888                       888                d88P888  888  
888       888d888888  88888888b. 888888 .d88b.     d88P 888  888  
888       888P"  888  888888 "88b888   d88""88b   d88P  888  888  
888    888888    888  888888  888888   888  888  d88P   888  888  
Y88b  d88P888    Y88b 888888 d88PY88b. Y88..88P d8888888888  888  
 "Y8888P" 888     "Y8888888888P"  "Y888 "Y88P" d88P     8888888888
                      888888                                      
                 Y8b d88P888                                      
                  "Y88P" 888                              by UmeW

             ***** Market Data Saver ******               

2017-12-18 17:14:00 : 18610.957894736843, low: 18604.5, high: 18619, r: 85.26315789473684, vol:374209
2017-12-18 17:14:00 : 18900.363636363636, low: 18891, high: 18909, r: 100.0, vol:32234
2017-12-18 17:14:00 : 0.12352222222222221, low: 0.1226, high: 0.1243, r: 55.55555555555556, vol:36
2017-12-18 17:12:00 : 0.030401, low: 0.030401, high: 0.030401, r: 100.0, vol:35
2017-12-18 17:14:00 : 0.0402, low: 0.0402, high: 0.0402, r: 0.0, vol:5
2017-12-18 17:05:00 : 0.05885, low: 0.05885, high: 0.05885, r: 100.0, vol:1
2017-12-18 17:13:00 : 0.00206, low: 0.00206, high: 0.00206, r: 100.0, vol:5
2017-12-18 17:13:00 : 0.01912533333333333, low: 0.0191, high: 0.019173, r: 66.66666666666667, vol:22
2017-12-18 17:14:00 : 0.01771, low: 0.01771, high: 0.01771, r: 100.0, vol:1
2017-12-18 17:15:00 : 18612.377622377622, low: 18597.5, high: 18621, r: 49.65034965034965, vol:1072274
2017-12-18 17:15:00 : 0.01769, low: 0.01769, high: 0.01769, r: 0.0, vol:4
2017-12-18 17:15:00 : 18897.16, low: 18860, high: 18909.5, r: 4.0, vol:58956
2017-12-18 17:15:00 : 0.12373333333333335, low: 0.1236, high: 0.124, r: 83.33333333333333, vol:16
2017-12-18 17:15:00 : 0.019101, low: 0.019101, high: 0.019101, r: 0.0, vol:2
2017-12-18 17:14:00 : 20706.166666666668, low: 20697, high: 20750, r: 16.666666666666668, vol:3300
2017-12-18 17:15:00 : 0.002045, low: 0.002045, high: 0.002045, r: 0.0, vol:10
2017-12-18 17:16:00 : 18564.470989761092, low: 18532, high: 18598, r: 10.921501706484642, vol:1237508
2017-12-18 17:16:00 : 18838.055555555555, low: 18815.5, high: 18865, r: 0.0, vol:22483
2017-12-18 17:15:00 : 0.030467, low: 0.030467, high: 0.030467, r: 100.0, vol:2
2017-12-18 17:15:00 : 0.058811, low: 0.058811, high: 0.058811, r: 100.0, vol:1
2017-12-18 17:16:00 : 20618.0, low: 20618, high: 20618, r: 0.0, vol:500
